菅義偉,神奈川県 2区,自民党
菅原一秀,東京都 9区,自民党
助田重義,北陸信越ブロック,自民党
鈴木克昌,東海ブロック,民進党
鈴木馨祐,神奈川県 7区,自民党
鈴木俊一,岩手県 2区,自民党
鈴木淳司,東海ブロック,自民党
鈴木貴子,北海道ブロック,無所属
鈴木憲和,山形県 2区,自民党
鈴木隼人,東京ブロック,自民党
鈴木義弘,北関東ブロック,希望の党
関芳弘,兵庫県 3区,自民党
瀬戸隆一,四国ブロック,自民党
薗浦健太郎,千葉県 5区,自民党
園田博之,熊本県 4区,自民党
平将明,東京都 4区,自民党
高井崇志,中国ブロック,民進党
高市早苗,奈良県 2区,自民党
高木義明,九州ブロック,民進党
高木毅,福井県 2区,自民党
高木宏壽,北海道 3区,自民党
高木美智代,東京ブロック,公明党
高木陽介,東京ブロック,公明党
高鳥修一,新潟県 6区,自民党
高橋千鶴子,東北ブロック,共産党
高橋ひなこ,東北ブロック,自民党
武井俊輔,宮崎県 1区,自民党
竹内譲,近畿ブロック,公明党
竹下亘,島根県 2区,自民党
武田良太,福岡県 11区,自民党
武部新,北海道 12区,自民党
武正公一,北関東ブロック,民進党
武村展英,滋賀県 3区,自民党
竹本直一,大阪府 15区,自民党
田島一成,近畿ブロック,民進党
田嶋要,千葉県 1区,民進党
橘慶一郎,富山県 3区,自民党
田所嘉徳,茨城県 1区,自民党
田中和徳,神奈川県 10区,自民党
田中英之,京都府 4区,自民党
田中良生,埼玉県 15区,自民党
棚橋泰文,岐阜県 2区,自民党
谷垣禎一,京都府 5区,自民党
谷川とむ,近畿ブロック,自民党
谷川弥一,長崎県 3区,自民党
谷公一,兵庫県 5区,自民党
谷畑孝,大阪府 14区,日本維新の会
田野瀬太道,奈良県 4区,自民党
田畑毅,東京ブロック,自民党
田畑裕明,富山県 1区,自民党
玉木雄一郎,香川県 2区,民進党
玉城デニー,沖縄県 3区,自由党
田村貴昭,九州ブロック,共産党
田村憲久,三重県 4区,自民党
津島淳,青森県 1区,自民党
辻清人,東京都 2区,自民党
辻元清美,大阪府 10区,民進党
土屋品子,埼玉県 13区,自民党
土屋正忠,東京都 18区,自民党
角田秀穂,南関東ブロック,公明党
津村啓介,中国ブロック,民進党
寺田学,東北ブロック,民進党
寺田稔,広島県 5区,自民党
照屋寛徳,沖縄県 2区,社民党
遠山清彦,九州ブロック,公明党
渡海紀三朗,兵庫県 10区,自民党
とかしきなおみ,大阪府 7区,自民党
冨樫博之,秋田県 1区,自民党
冨岡勉,長崎県 1区,自民党
富田茂之,南関東ブロック,公明党
豊田真由子,埼玉県 4区,無所属
土井亨,宮城県 1区,自民党
中川俊直,広島県 4区,無所属
中川正春,三重県 2区,民進党
中川康洋,東海ブロック,公明党
中川郁子,北海道 11区,自民党
仲里利信,沖縄県 4区,無所属
中島克仁,山梨県 1区,民進党
中谷元,高知県 1区,自民党
中谷真一,南関東ブロック,自民党
中根一幸,北関東ブロック,自民党
中根康浩,東海ブロック,民進党
中野洋昌,兵庫県 8区,公明党
中村喜四郎,茨城県 7区,無所属
中村裕之,北海道 4区,自民党
中山展宏,南関東ブロック,自民党
中山泰秀,大阪府 4区,自民党
永岡桂子,北関東ブロック,自民党
長尾敬,近畿ブロック,自民党
長坂康正,愛知県 9区,自民党
長崎幸太郎,山梨県 2区,無所属
長島昭久,東京ブロック,希望の党
長妻昭,東京都 7区,民進党
二階俊博,和歌山県 3区,自民党
西川公也,北関東ブロック,自民党
西村明宏,宮城県 3区,自民党
西村智奈美,北陸信越ブロック,民進党
西村康稔,兵庫県 9区,自民党
西銘恒三郎,九州ブロック,自民党
丹羽秀樹,愛知県 6区,自民党
丹羽雄哉,茨城県 6区,自民党
額賀福志郎,茨城県 2区,自民党
根本匠,福島県 2区,自民党
根本幸典,愛知県 15区,自民党
野田聖子,岐阜県 1区,自民党
野田毅,熊本県 2区,自民党
野田佳彦,千葉県 4区,民進党
野中厚,埼玉県 12区,自民党
野間健,鹿児島県 3区,希望の党
萩生田光一,東京都 24区,自民党
橋本岳,岡山県 4区,自民党
橋本英教,東北ブロック,自民党
馳浩,石川県 1区,自民党
畑野君枝,南関東ブロック,共産党
畠山和也,北海道ブロック,共産党
初鹿明博,東京ブロック,民進党
鳩山二郎,福岡県 6区,自民党
葉梨康弘,茨城県 3区,自民党
浜田靖一,千葉県 12区,自民党
浜地雅一,九州ブロック,公明党
濱村進,近畿ブロック,公明党
林幹雄,千葉県 10区,自民党
原口一博,佐賀県 1区,民進党
原田憲治,大阪府 9区,自民党
原田義昭,福岡県 5区,自民党
馬場伸幸,大阪府 17区,日本維新の会
伴野豊,東海ブロック,民進党
比嘉奈津美,九州ブロック,自民党
樋口尚也,近畿ブロック,公明党
平井たくや,香川県 1区,自民党
平口洋,広島県 2区,自民党
平沢勝栄,東京都 17区,自民党
平沼赳夫,岡山県 3区,自民党
平野博文,近畿ブロック,民進党
福井照,四国ブロック,自民党
福島伸享,北関東ブロック,民進党
福田昭夫,栃木県 2区,民進党
福田達夫,群馬県 4区,自民党
ふくだ峰之,南関東ブロック,希望の党
福山守,四国ブロック,自民党
藤井比早之,兵庫県 4区,自民党
藤野保史,北陸信越ブロック,共産党
藤丸敏,福岡県 7区,自民党
藤原崇,東北ブロック,自民党
船田元,栃木県 1区,自民党
古川元久,愛知県 2区,民進党
古川康,佐賀県 2区,自民党
古川禎久,宮崎県 3区,自民党
古田圭一,中国ブロック,自民党
古本伸一郎,愛知県 11区,民進党
古屋圭司,岐阜県 5区,自民党
古屋範子,南関東ブロック,公明党
星野剛士,神奈川県 12区,自民党
細田健一,新潟県 2区,自民党
細田博之,島根県 1区,自民党
細野豪志,静岡県 5区,希望の党
堀井学,北海道 9区,自民党
堀内照文,近畿ブロック,共産党
堀内詔子,南関東ブロック,自民党
前川恵,東京ブロック,自民党
前田一男,北海道ブロック,自民党
前原誠司,京都府 2区,民進党
牧島かれん,神奈川県 17区,自民党
牧原秀樹,北関東ブロック,自民党
牧義夫,東海ブロック,民進党
真島省三,九州ブロック,共産党
升田世喜男,東北ブロック,民進党
桝屋敬悟,中国ブロック,公明党
松木けんこう,北海道ブロック,民進党
松島みどり,東京都 14区,自民党
松田直久,東海ブロック,民進党
松浪健太,近畿ブロック,日本維新の会
松野博一,千葉県 3区,自民党
松野頼久,九州ブロック,民進党
松原仁,東京ブロック,希望の党
松本純,神奈川県 1区,自民党
松本剛明,兵庫県 11区,自民党
松本文明,東京ブロック,自民党
松本洋平,東京都 19区,自民党
馬淵澄夫,奈良県 1区,民進党
真山祐一,東北ブロック,公明党
丸山穂高,大阪府 19区,日本維新の会
三ッ林裕巳,埼玉県 14区,自民党
三ッ矢憲生,三重県 5区,自民党
水戸将史,南関東ブロック,民進党
御法川信英,秋田県 3区,自民党
三原朝彦,福岡県 9区,自民党
宮内秀樹,福岡県 4区,自民党
宮川典子,南関東ブロック,自民党
宮腰光寛,富山県 2区,自民党
宮崎岳志,北関東ブロック,民進党
宮崎政久,九州ブロック,自民党
宮澤博行,静岡県 3区,自民党
宮下一郎,長野県 5区,自民党
宮路拓馬,九州ブロック,自民党
宮本岳志,近畿ブロック,共産党
宮本徹,東京ブロック,共産党
務台俊介,長野県 2区,自民党
武藤貴也,滋賀県 4区,無所属
武藤容治,岐阜県 3区,自民党
宗清皇一,大阪府 13区,自民党
村井英樹,埼玉県 1区,自民党
村岡敏英,東北ブロック,民進党
村上誠一郎,愛媛県 2区,自民党
望月義夫,静岡県 4区,自民党
茂木敏充,栃木県 5区,自民党
本村賢太郎,南関東ブロック,民進党
本村伸子,東海ブロック,共産党
森英介,千葉県 11区,自民党
森山裕,鹿児島県 5区,自民党
盛山正仁,近畿ブロック,自民党
八木哲也,東海ブロック,自民党
保岡興治,鹿児島県 1区,自民党
簗和生,栃木県 3区,自民党
山尾志桜里,愛知県 7区,無所属
山際大志郎,神奈川県 18区,自民党
山口俊一,徳島県 2区,自民党
山口泰明,埼玉県 10区,自民党
山口壯,兵庫県 12区,自民党
山下貴司,岡山県 2区,自民党
山田賢司,兵庫県 7区,自民党
山田美樹,東京都 1区,自民党
山井和則,京都府 6区,民進党
山本公一,愛媛県 4区,自民党
山本幸三,福岡県 10区,自民党
山本拓,北陸信越ブロック,自民党
山本朋広,南関東ブロック,自民党
山本有二,高知県 2区,自民党
柚木道義,中国ブロック,民進党
横路孝弘,北海道 1区,民進党
横山博幸,四国ブロック,希望の党
義家弘介,南関東ブロック,自民党
吉川貴盛,北海道 2区,自民党
吉川元,九州ブロック,社民党
吉田豊史,北陸信越ブロック,日本維新の会
吉田宣弘,九州ブロック,公明党
吉野正芳,福島県 5区,自民党
笠浩史,神奈川県 9区,希望の党
若狭勝,東京都 10区,希望の党
若宮健嗣,東京都 5区,自民党
鷲尾英一郎,北陸信越ブロック,民進党
渡辺孝一,北海道ブロック,自民党
渡辺周,静岡県 6区,民進党
渡辺博道,千葉県 6区,自民党
和田義明,北海道 5区,自民党
