Q11568677	熊田裕通	自民	現職	23	愛知県 1区	男性	1964-08-28				
Q11678114	黒岩宇洋	民進	現職	15	新潟県 3区	男性	1966-10-13				
Q58213	玄葉光一郎	民進	現職	7	福島県 3区	男性	1964-05-20				
Q661410	小泉進次郎	自民	現職	14	神奈川県 11区	男性	1981-04-14		https://facebook.com/shinjiro.koizumi		
Q11462582	小泉龍司	無所属	現職	11	埼玉県 11区	男性	1952-09-17				
Q1161024	河野太郎	自民	現職	14	神奈川県 15区	男性	1963-01-10	konotarogomame	https://facebook.com/河野太郎-168727046514485		
Q697969	高村正彦	自民	現職	35	山口県 1区	男性	1942-03-15				
Q11411691	古賀篤	自民	現職	40	福岡県 3区	男性	1972-07-14				
Q6383646	穀田恵二	共産	現職		近畿ブロック	男性	1947-01-11	kokutakeiji			
Q11422694	國場幸之助	自民	現職		九州ブロック	男性	1973-01-10				
Q11637774	輿水恵一	公明	現職		北関東ブロック	男性	1962-02-04				
	小島敏文	自民	現職		中国ブロック						
Q11461955	小林鷹之	自民	現職	12	千葉県 2区	男性	1974-11-29				
Q11461458	小林史明	自民	現職	34	広島県 7区	男性	1983-04-08	kb2474	https://facebook.com/fumiaki.kobayashi0408		重複注意
Q17158257	小林史明	自民	現職	34	広島県 7区	男性	1974-12-10				重複注意
Q11461243	小松裕	自民	現職		北陸信越ブロック	男性	1954-01-01				
Q8050022	小宮山泰子	民進	現職		北関東ブロック	女性	1965-04-25		https://facebook.com/yasko.komiyama		
Q11459848	小山展弘	民進	現職		東海ブロック	男性	1975-12-26				
Q653000	近藤昭一	民進	現職	23	愛知県 3区	男性	1958-05-26				
Q49943	近藤洋介	民進	現職		東北ブロック	男性	1965-05-19	kondoyosuke21	https://facebook.com/kondo21		
Q17158474	今野智博	自民	現職		北関東ブロック	男性	1975-07-25				
Q7496422	後藤茂之	自民	現職	20	長野県 4区	男性	1955-12-09				
Q6782819	後藤田正純	自民	現職	36	徳島県 1区	男性	1969-08-05	gotodamasazumi	https://facebook.com/gotoda.masazumi		
Q11488572	後藤祐一	希望	現職	14	神奈川県 16区	男性	1969-03-25				
Q18817567	斉藤和子	共産	現職		南関東ブロック	女性	1974-09-29				
Q11679075	齋藤健	自民	現職	12	千葉県 7区	男性	1959-06-14				
Q926287	斉藤鉄夫	公明	現職		中国ブロック	男性	1952-02-05	saitotetsuo			
Q17158549	斎藤洋明	自民	現職		北陸信越ブロック	男性	1976-12-08				
Q6746574	坂井学	自民	現職	14	神奈川県 5区	男性	1965-09-04	sakai_manabu	https://facebook.com/sakaimanabu.yokohama		
Q7706925	坂本哲志	自民	現職	43	熊本県 3区	男性	1950-11-06				
Q17158714	坂本祐之輔	民進	現職		北関東ブロック	男性	1955-01-30				
	櫻田義孝	自民	現職	12	千葉県 8区						
Q11602573	笹川博義	自民	現職	10	群馬県 3区	男性	1966-08-29				
Q7677066	佐々木隆博	民進	現職	1	北海道 6区	男性	1949-03-10				
Q17158871	佐々木紀	自民	現職	17	石川県 2区	男性	1974-10-18				
Q5533162	佐田玄一郎	自民	現職	10	群馬県 1区	男性	1952-01-01				
